model_family,architecture,seed,lambda_shortfall,T,rho_scale,split,model_name,n,rmse_vs_realised,rmse_vs_true,mae_vs_true,bias_vs_true,mean_regret,median_regret,mean_regret_vs_bayes,mean_regret_irreducible,mean_utility,shortfall_bind_share
pto,mlp,46,10.0,500,0.1,main,mlp,150,0.0016422992684944,0.0011453534391877,0.0007531456843313,0.0001136888789093,0.1102302824590584,0.006647581795354,0.1091082020353869,0.0011220804236715,0.9912227282431116,0.2933333333333333
pto,persistence,46,10.0,500,0.1,main,persistence,150,0.0019681598864328,0.0015773403279461,0.0010744216140948,-1.2684068076652377e-06,0.418495096765207,0.0160083498136072,0.4173730163415354,0.0011220804236715,0.682957913936963,0.4666666666666667
pto,persistence_ma4,46,10.0,500,0.1,main,persistence_ma4,150,0.0018310980083135,0.0014493166134694,0.0009393279419993,0.0001214687481698,0.2069723437288757,0.0103859290826174,0.2058502633052041,0.0011220804236715,0.8944806669732944,0.4
blackbox,linear,46,10.0,500,0.1,main,blackbox_linear,150,,,,,0.028572053978284,0.0172243552696875,0.0274499735546124,0.0011220804236715,1.072880956723886,0.0333333333333333
blackbox,mlp,46,10.0,500,0.1,main,blackbox_mlp,150,,,,,0.0187615356906135,0.0153114289779304,0.017639455266942,0.0011220804236715,1.0826914750115566,0.0133333333333333
dfl,linear,46,10.0,500,0.1,main,dfl_linear,150,0.0038152510602003,0.0034561942288936,0.0026717570380623,0.0026287152263105,0.0174725301808055,0.0132141785925381,0.0163504497571339,0.0011220804236715,1.0839804805213646,0.0133333333333333
dfl,mlp,44,10.0,1000,0.03,main,dfl_mlp,300,0.0040013829892898,0.0037726301094096,0.0030410276905042,0.0030111630710123,0.0114642316276366,0.0092251782449185,0.0108589521222237,0.0006052795054129,1.0773508376343306,0.02
pto,linear,45,10.0,150,0.03,main,linear,45,0.0039866376615336,0.0040258417843399,0.0030959337053684,-0.0003138823147295,0.3584159732968791,0.1777875348934101,0.3577003930453036,0.0007155802515754,0.7056327277306917,0.6
pto,mlp,45,10.0,150,0.03,main,mlp,45,0.0026993590076032,0.0021109388623542,0.0018517794895712,-0.0011524034438708,0.2502149837451727,0.1857531698765662,0.2494994034935973,0.0007155802515754,0.8138337172823981,0.6888888888888889
pto,persistence,45,10.0,150,0.03,main,persistence,45,0.0026547692809996,0.0020305303278049,0.0016716811889994,-0.0002433159591285,0.1549809247369575,0.006980057562463,0.154265344485382,0.0007155802515754,0.9090677762906132,0.5111111111111111
pto,persistence_ma4,45,10.0,150,0.03,main,persistence_ma4,45,0.0024456648162291,0.0018543255627405,0.0015020400410529,-0.0004193434532228,0.1371937547559666,0.0324047435799115,0.1364781745043911,0.0007155802515754,0.9268549462716044,0.5111111111111111
blackbox,linear,45,10.0,150,0.03,main,blackbox_linear,45,,,,,0.1838467008672223,0.0062540786622988,0.1831311206156468,0.0007155802515754,0.8802020001603486,0.2
blackbox,mlp,45,10.0,150,0.03,main,blackbox_mlp,45,,,,,0.0269527785411601,0.0072425402522202,0.0262371982895846,0.0007155802515754,1.037095922486411,0.0888888888888888
dfl,linear,45,10.0,150,0.03,main,dfl_linear,45,0.0063306243765279,0.0063882824345114,0.0042868326645278,0.0035018583788379,0.0692779278670227,0.0059875850617394,0.0685623476154472,0.0007155802515754,0.994770773160548,0.2
dfl,mlp,45,10.0,150,0.03,main,dfl_mlp,45,0.0046415715856864,0.0042911341957561,0.0032806347360363,0.0025239883640313,0.0503781081559481,0.0055075204080217,0.0496625279043726,0.0007155802515754,1.0136705928716228,0.2666666666666666
pto,linear,45,10.0,300,0.03,main,linear,90,0.0015579714436745,0.0012880207074621,0.0009895391806754,0.000335608554076,0.0880706353480039,0.0080262729153381,0.0875937145850772,0.0004769207629266,1.0107588723280956,0.1888888888888888
pto,mlp,45,10.0,300,0.03,main,mlp,90,0.0014415639853987,0.0011332961666445,0.0006876706376704,0.0001496898237028,0.0974213575808708,0.0054419061582763,0.0969444368179441,0.0004769207629266,1.0014081500952288,0.2777777777777778
pto,persistence,45,10.0,300,0.03,main,persistence,90,0.0016468735367015,0.0013865281293161,0.0008216061603899,2.611586206367201e-05,0.2134711090632386,0.013984906362108,0.2129941883003119,0.0004769207629266,0.885358398612861,0.5222222222222223
pto,persistence_ma4,45,10.0,300,0.03,main,persistence_ma4,90,0.0016950103637479,0.0014171860955778,0.0009225581943775,1.6757639785517857e-05,0.2154233133346839,0.0093015286707694,0.2149463925717572,0.0004769207629266,0.8834061943414155,0.4444444444444444
blackbox,linear,45,10.0,300,0.03,main,blackbox_linear,90,,,,,0.0384325184780975,0.0147606818431741,0.0379555977151708,0.0004769207629266,1.0603969891980018,0.0444444444444444
blackbox,mlp,45,10.0,300,0.03,main,blackbox_mlp,90,,,,,0.0310472040023762,0.0157394681503676,0.0305702832394495,0.0004769207629266,1.0677823036737235,0.0888888888888888
