time,model,true_stress_probability,predicted_stress_probability
2093-10-01,prob_diag_mlp,0.156701791980404,0.15180122376754207
2094-01-01,prob_diag_mlp,0.1186211224922356,0.1225901773574419
2094-04-01,prob_diag_mlp,0.1076113957612487,0.1032840090243116
2094-07-01,prob_diag_mlp,0.0854928993932088,0.08658489062247421
2094-10-01,prob_diag_mlp,0.0765625278427474,0.07776974621500184
2095-01-01,prob_diag_mlp,0.0870654698347467,0.08677096220816109
2095-04-01,prob_diag_mlp,0.4039225817447958,0.40918622652691994
2095-07-01,prob_diag_mlp,0.2411818529383229,0.23356310866700547
2095-10-01,prob_diag_mlp,0.3117587477279575,0.3105828166344553
2096-01-01,prob_diag_mlp,0.5128719450324972,0.5193902451142205
2096-04-01,prob_diag_mlp,0.511644946882905,0.5191478943434211
2096-07-01,prob_diag_mlp,0.4569227129616854,0.4665934266746373
2096-10-01,prob_diag_mlp,0.0591472899960912,0.06235939013679604
2097-01-01,prob_diag_mlp,0.0516874538928286,0.05538839034337008
2097-04-01,prob_diag_mlp,0.0214888263620893,0.03061692715375137
2097-07-01,prob_diag_mlp,0.1540084804889345,0.15204543303947465
2097-10-01,prob_diag_mlp,0.0569839015669128,0.06364560738823119
2098-01-01,prob_diag_mlp,0.027169101729854,0.035520431385008655
2098-04-01,prob_diag_mlp,0.0163733051273228,0.02325843492195713
2098-07-01,prob_diag_mlp,0.0339297758315942,0.04139686896016701
2098-10-01,prob_diag_mlp,0.019012795487407,0.026194049283295214
2099-01-01,prob_diag_mlp,0.0065398598233605,0.014507262751136105
2099-04-01,prob_diag_mlp,0.0176105538471707,0.026101894570203604
2099-07-01,prob_diag_mlp,0.0610744555310395,0.06608502386895246
2099-10-01,prob_diag_mlp,0.3402497336986335,0.33970981126167155
2100-01-01,prob_diag_mlp,0.1503960036238094,0.15816835494915635
2100-04-01,prob_diag_mlp,0.044780525681266,0.05074110596868593
2100-07-01,prob_diag_mlp,0.0507372280992535,0.05375938542795811
2100-10-01,prob_diag_mlp,0.0276938144435954,0.03547093419651842
2101-01-01,prob_diag_mlp,0.0466233813733793,0.05124055171532737
2101-04-01,prob_diag_mlp,0.0529186199031416,0.05748662303991814
2101-07-01,prob_diag_mlp,0.0191397980858438,0.03179915557783236
2101-10-01,prob_diag_mlp,0.0078564158726598,0.016114022838606676
2102-01-01,prob_diag_mlp,0.0411918018215316,0.045140766436391234
2102-04-01,prob_diag_mlp,0.0198662908563717,0.027480598699163146
2102-07-01,prob_diag_mlp,0.0145004254411376,0.02301178440935001
2102-10-01,prob_diag_mlp,0.0128481388626467,0.020146671170744063
2103-01-01,prob_diag_mlp,0.0206591608947115,0.02719587874445224
2103-04-01,prob_diag_mlp,0.0272693416907751,0.03392345384727777
2103-07-01,prob_diag_mlp,0.1479906422597519,0.14899716540312333
2103-10-01,prob_diag_mlp,0.4763368937051255,0.4784601205992438
2104-01-01,prob_diag_mlp,0.4589532916138388,0.4607284524362619
2104-04-01,prob_diag_mlp,0.3648288554750158,0.3623237668245535
2104-07-01,prob_diag_mlp,0.6908796239312222,0.6919828113502579
2104-10-01,prob_diag_mlp,0.4252674065694531,0.42943138102038086
2105-01-01,prob_diag_mlp,0.3611396661426269,0.3593209335450908
2105-04-01,prob_diag_mlp,0.5559544924495212,0.5602649293809606
2105-07-01,prob_diag_mlp,0.3781026326283684,0.37655125063768374
2105-10-01,prob_diag_mlp,0.1734544691173244,0.16943968026224732
2106-01-01,prob_diag_mlp,0.248057441441193,0.2539085233091523
2106-04-01,prob_diag_mlp,0.172618415261269,0.1736637152633306
2106-07-01,prob_diag_mlp,0.1630603846770791,0.1645248793908535
2106-10-01,prob_diag_mlp,0.2056380093359196,0.20859822790619253
2107-01-01,prob_diag_mlp,0.0271125413491008,0.03623797277701351
2107-04-01,prob_diag_mlp,0.0384285075435936,0.043109730316568805
2107-07-01,prob_diag_mlp,0.0418805936120279,0.04895175291386217
2107-10-01,prob_diag_mlp,0.0605590470053927,0.06354985477439125
2108-01-01,prob_diag_mlp,0.0082957977019536,0.01682405939739324
2108-04-01,prob_diag_mlp,0.002816496083598,0.010035039125343601
2108-07-01,prob_diag_mlp,0.0021126136129887,0.009109061569551298
2108-10-01,prob_diag_mlp,0.0072533725128063,0.015156222309637115
2109-01-01,prob_diag_mlp,0.0009278196566523,0.007289114835243345
2109-04-01,prob_diag_mlp,0.0001276812884524,0.004904954929664111
2109-07-01,prob_diag_mlp,0.0007895160329706,0.006860723294949611
2109-10-01,prob_diag_mlp,0.0028471519372216,0.010392642419122298
2110-01-01,prob_diag_mlp,0.0072366421589135,0.015477425321725158
2110-04-01,prob_diag_mlp,0.0053356493375692,0.013295334071953406
2110-07-01,prob_diag_mlp,0.0017248839929826,0.008798702070451974
2110-10-01,prob_diag_mlp,0.0045869363604225,0.012658603332935872
2111-01-01,prob_diag_mlp,0.017471306019946,0.026243373757052185
2111-04-01,prob_diag_mlp,0.0544947741845352,0.05811791532060311
2111-07-01,prob_diag_mlp,0.2934127676296786,0.2900138926029516
2111-10-01,prob_diag_mlp,0.8526002939151707,0.8465313351003174
2112-01-01,prob_diag_mlp,0.8467171581206219,0.8426323856351384
2112-04-01,prob_diag_mlp,0.5295502991164166,0.5353309512977696
2112-07-01,prob_diag_mlp,0.290007847777809,0.29382598269086435
2112-10-01,prob_diag_mlp,0.2276744180120505,0.2339610697484905
2113-01-01,prob_diag_mlp,0.2671594306511274,0.2796456468939686
2113-04-01,prob_diag_mlp,0.1890027107265341,0.19121429303494952
2113-07-01,prob_diag_mlp,0.1438089177152709,0.14153450020511174
2113-10-01,prob_diag_mlp,0.0286168100997499,0.03708730098739554
2114-01-01,prob_diag_mlp,0.0505450592431465,0.05548516113231093
2114-04-01,prob_diag_mlp,0.1851510393797313,0.18189621315266094
2114-07-01,prob_diag_mlp,0.3496862664215786,0.34813751656021735
2114-10-01,prob_diag_mlp,0.3039012617611051,0.3024769384815793
2115-01-01,prob_diag_mlp,0.2982510721168081,0.2945247647103014
2115-04-01,prob_diag_mlp,0.5821216212619069,0.5857682704312267
2115-07-01,prob_diag_mlp,0.4788498619788073,0.4750642669945868
2115-10-01,prob_diag_mlp,0.72014969797346,0.7051412095676778
2116-01-01,prob_diag_mlp,0.4005790422436368,0.41144372736095075
2116-04-01,prob_diag_mlp,0.2561843513186937,0.2507711125816251
2116-07-01,prob_diag_mlp,0.6688167954521508,0.6752985743475779
2116-10-01,prob_diag_mlp,0.7155078412699835,0.7162249237135916
2117-01-01,prob_diag_mlp,0.5620701563268892,0.5655723033626426
2117-04-01,prob_diag_mlp,0.3450229812096984,0.34180679364311095
2117-07-01,prob_diag_mlp,0.4581209121598696,0.46103763455823743
2117-10-01,prob_diag_mlp,0.3107153906084869,0.3153411486562849
2118-01-01,prob_diag_mlp,0.5849547723868496,0.5897972941158823
2118-04-01,prob_diag_mlp,0.901783462539422,0.8781652242173464
2118-07-01,prob_diag_mlp,0.8459177378984849,0.8363867798669178
2118-10-01,prob_diag_mlp,0.8268081162271138,0.8090907268649602
2119-01-01,prob_diag_mlp,0.5293250275853565,0.524841733228284
2119-04-01,prob_diag_mlp,0.6216034166222014,0.6140791940433102
2119-07-01,prob_diag_mlp,0.3425284372137315,0.3430257715063156
2119-10-01,prob_diag_mlp,0.3684002282494465,0.3677518136785508
2120-01-01,prob_diag_mlp,0.0245369488394909,0.03132394601414953
2120-04-01,prob_diag_mlp,0.017585532107722,0.024409398719576356
2120-07-01,prob_diag_mlp,0.0939120960224061,0.09145044172858795
2120-10-01,prob_diag_mlp,0.527794580928747,0.5353127703903936
2121-01-01,prob_diag_mlp,0.3193604077690525,0.3155328672055292
2121-04-01,prob_diag_mlp,0.256877691264976,0.254103427514139
2121-07-01,prob_diag_mlp,0.2061416889290108,0.2092600449404234
2121-10-01,prob_diag_mlp,0.5794551495854483,0.5754823431702029
2122-01-01,prob_diag_mlp,0.3305954192071255,0.3287645245880143
2122-04-01,prob_diag_mlp,0.5470397363620714,0.5545995120105187
2122-07-01,prob_diag_mlp,0.2105625591479136,0.20709095568837954
2122-10-01,prob_diag_mlp,0.2158698094338532,0.20922974051191653
2123-01-01,prob_diag_mlp,0.0266440270958786,0.032535453456642965
2123-04-01,prob_diag_mlp,0.2355956910432975,0.2284127532891463
2123-07-01,prob_diag_mlp,0.6030306559265035,0.6109039914329979
2123-10-01,prob_diag_mlp,0.5457806217625779,0.5514703152427579
2124-01-01,prob_diag_mlp,0.2973328437161262,0.2941248419111131
2124-04-01,prob_diag_mlp,0.3484271426958515,0.3465089842092495
2124-07-01,prob_diag_mlp,0.3247891433216655,0.3212016754503005
2124-10-01,prob_diag_mlp,0.23073020514493,0.22262467351396337
